time,open,high,low,close,volume
2023-01-01 00:00:00,4500.0,4509.0,4491.0,4500.0,5411
2023-01-01 01:00:00,4506.77,4540.99,4483.63,4498.04,11261
2023-01-01 02:00:00,4504.68,4527.5,4504.68,4506.96,9083
2023-01-01 03:00:00,4506.92,4562.66,4492.31,4527.99,13150
2023-01-01 04:00:00,4525.32,4558.59,4520.56,4524.75,13094
2023-01-01 05:00:00,4524.18,4530.63,4512.55,4521.59,6318
2023-01-01 06:00:00,4530.84,4552.66,4530.84,4543.57,18309
2023-01-01 07:00:00,4541.53,4563.49,4541.53,4554.38,8748
2023-01-01 08:00:00,4558.39,4596.13,4511.12,4548.02,11379
2023-01-01 09:00:00,4552.75,4568.94,4552.75,4555.77,16490
2023-01-01 10:00:00,4572.33,4602.66,4536.92,4549.6,9092
2023-01-01 11:00:00,4546.47,4565.22,4534.32,4543.41,6629
2023-01-01 12:00:00,4539.8,4556.22,4538.03,4547.13,9534
2023-01-01 13:00:00,4529.98,4529.98,4511.89,4520.94,8715
2023-01-01 14:00:00,4517.05,4517.05,4462.47,4497.5,15559
2023-01-01 15:00:00,4498.94,4512.35,4479.39,4490.22,8984
2023-01-01 16:00:00,4491.64,4530.5,4447.06,4476.85,10521
2023-01-01 17:00:00,4476.64,4515.6,4472.84,4481.81,10974
2023-01-01 18:00:00,4471.12,4490.03,4410.9,4470.01,8350
2023-01-01 19:00:00,4453.45,4453.45,4413.97,4451.35,10030
2023-01-01 20:00:00,4451.05,4481.17,4433.38,4472.08,4654
2023-01-01 21:00:00,4473.7,4479.94,4457.67,4469.8,6282
2023-01-01 22:00:00,4464.36,4489.46,4437.15,4471.52,12502
2023-01-01 23:00:00,4466.04,4506.5,4440.46,4452.79,10739
2023-01-02 00:00:00,4471.11,4478.31,4445.27,4446.19,8293
2023-01-02 01:00:00,4456.1,4466.97,4439.68,4448.58,5617
2023-01-02 02:00:00,4447.03,4447.03,4424.93,4433.8,12534
2023-01-02 03:00:00,4445.83,4445.83,4406.38,4439.86,12527
2023-01-02 04:00:00,4441.52,4441.52,4415.3,4432.65,11889
2023-01-02 05:00:00,4421.66,4438.45,4404.06,4429.59,13783
2023-01-02 06:00:00,4428.8,4428.8,4418.35,4422.34,10759
2023-01-02 07:00:00,4438.9,4459.44,4438.9,4448.36,14688
2023-01-02 08:00:00,4455.35,4468.68,4424.87,4449.11,14566
2023-01-02 09:00:00,4444.49,4444.49,4426.75,4435.62,10995
2023-01-02 10:00:00,4441.97,4481.15,4422.97,4447.66,8988
2023-01-02 11:00:00,4440.77,4440.77,4398.71,4431.9,7605
2023-01-02 12:00:00,4440.77,4481.13,4426.81,4435.69,10440
2023-01-02 13:00:00,4428.45,4428.45,4373.18,4410.1,11439
2023-01-02 14:00:00,4406.09,4417.69,4384.5,4393.29,9768
2023-01-02 15:00:00,4392.05,4416.72,4365.37,4397.07,11659
2023-01-02 16:00:00,4399.3,4414.89,4399.3,4408.12,14145
2023-01-02 17:00:00,4402.0,4437.94,4387.05,4411.58,5415
2023-01-02 18:00:00,4411.2,4420.03,4402.39,4411.21,14175
2023-01-02 19:00:00,4406.46,4409.32,4399.57,4408.39,7501
2023-01-02 20:00:00,4398.19,4400.67,4363.31,4389.62,9559
2023-01-02 21:00:00,4395.79,4396.37,4372.37,4381.13,14659
2023-01-02 22:00:00,4373.05,4403.49,4369.59,4376.17,10497
2023-01-02 23:00:00,4382.83,4416.58,4382.83,4391.61,14653
2023-01-03 00:00:00,4394.44,4406.35,4377.9,4397.55,14216
2023-01-03 01:00:00,4385.43,4385.43,4360.42,4375.17,7217
